Instance;Fitness Method;Crossover Method;Mutation Method;Max Generations;Population Size; Mutation Frequency;Preserved Population Percentage;Fittest individual fitness;First Generation Average Fitness;Last Generation Average Fitness;Fittest Individual Amount of Right Numbers;Generations passed;Elapsed Time(s)
5466;Number of wrong numbers;Combine solved columns;Shuffle random square|row|column;2000;500;40;10;79;24.278;70.918;71;2000;337,376343
4921;Number of wrong numbers;Combine solved columns;Shuffle random square|row|column;2000;500;40;10;72;25.336;64.354;72;2000;339,183533
4942;Number of wrong numbers;Combine solved columns;Shuffle random square|row|column;2000;500;40;10;73;24.614;65.432;73;2000;339,414978
5618;Number of wrong numbers;Combine solved columns;Shuffle random square|row|column;2000;500;40;10;79;25.968;70.41;79;2000;339,405029
4710;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;2000;500;40;10;-4403;-17829.7;-5924.17;45;2000;400,163544
5466;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;2000;500;40;10;-3846;-20697.3;-5729.24;51;2000;400,970154
4921;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;2000;500;40;10;-4058;-20559.2;-5761.76;41;2000;402,067230
4942;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;2000;500;40;10;-3245;-19684;-5209.66;48;2000;404,311615
5618;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;2000;500;40;10;-4496;-17989.9;-6127.99;56;2000;403,180847
4710;Number of wrong numbers;Combine solved columns;Shuffle random positions;2000;500;40;10;77;24.35;77;77;2000;337,140167
5466;Number of wrong numbers;Combine solved columns;Shuffle random positions;2000;500;40;10;75;24.966;75;75;2000;338,351685
4921;Number of wrong numbers;Combine solved columns;Shuffle random positions;2000;500;40;10;77;25.028;77;77;2000;340,326843
4942;Number of wrong numbers;Combine solved columns;Shuffle random positions;2000;500;40;10;72;24.73;72;72;2000;340,881287
5618;Number of wrong numbers;Combine solved columns;Shuffle random positions;2000;500;40;10;78;25.864;78;78;2000;340,212708
4710;Mantere and Koljen optmization function;Combine solved columns;Shuffle random positions;2000;500;40;10;-3668;-17596;-3668;40;2000;401,720551
5466;Mantere and Koljen optmization function;Combine solved columns;Shuffle random positions;2000;500;40;10;-3381;-20508.4;-3381;53;2000;401,907654
4921;Mantere and Koljen optmization function;Combine solved columns;Shuffle random positions;2000;500;40;10;-2896;-20594.2;-2896;48;2000;402,593170
4942;Mantere and Koljen optmization function;Combine solved columns;Shuffle random positions;2000;500;40;10;-2562;-20359;-2562;55;2000;402,264221
5618;Mantere and Koljen optmization function;Combine solved columns;Shuffle random positions;2000;500;40;10;-3082;-18316.6;-3082;47;2000;401,073608
