Instance;Fitness Method;Crossover Method;Mutation Method;Max Generations;Population Size; Mutation Frequency;Preserved Population Percentage;Fittest individual fitness;First Generation Average Fitness;Last Generation Average Fitness;Fittest Individual Amount of Right Numbers;Generations passed;Elapsed Time(s)
4710;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;79;33.8135;75.5635;79;500;214,718262
5466;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;73;32.2715;69.674;73;500;215,366776
4921;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;77;35.067;73.308;77;500;215,680969
4942;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;77;32.091;73.433;77;500;212,879059
5618;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;77;34.6565;73.5175;69;500;213,576935
4710;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;-2748;-16144.5;-3758;59;500;251,603363
5466;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;-1944;-17085.5;-3025.14;62;500;253,324814
4921;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;-3231;-16316.8;-4239.91;51;500;251,176117
4942;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;-3327;-16755.3;-4442.67;52;500;251,781815
5618;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;500;2000;40;20;-3151;-17234.3;-4246.42;48;500;248,042068
4710;Number of wrong numbers;Combine solved squares;Shuffle random positions;500;2000;40;20;77;33.897;77;77;500;207,351852
5466;Number of wrong numbers;Combine solved squares;Shuffle random positions;500;2000;40;20;77;32.6155;77;77;500;205,366852
4921;Number of wrong numbers;Combine solved squares;Shuffle random positions;500;2000;40;20;78;34.9425;78;78;500;190,326416
4942;Number of wrong numbers;Combine solved squares;Shuffle random positions;500;2000;40;20;75;32.0405;75;75;500;186,644211
5618;Number of wrong numbers;Combine solved squares;Shuffle random positions;500;2000;40;20;81;34.7805;76.1055;81;82;30,411327
4710;Mantere and Koljen optmization function;Combine solved squares;Shuffle random positions;500;2000;40;20;-2140;-16113.7;-2140;53;500;220,767136
5466;Mantere and Koljen optmization function;Combine solved squares;Shuffle random positions;500;2000;40;20;-3272;-17275.8;-3272;51;500;222,983093
4921;Mantere and Koljen optmization function;Combine solved squares;Shuffle random positions;500;2000;40;20;-3178;-16355.3;-3178;58;500;220,477875
4942;Mantere and Koljen optmization function;Combine solved squares;Shuffle random positions;500;2000;40;20;-3139;-16828.2;-3139;46;500;229,018997
5618;Mantere and Koljen optmization function;Combine solved squares;Shuffle random positions;500;2000;40;20;-1625;-17329.4;-1625;65;500;239,437439
4710;Number of wrong numbers;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;75;27.685;71.011;75;500;196,216629
5466;Number of wrong numbers;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;72;23.9525;67.946;72;500;192,829620
4921;Number of wrong numbers;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;77;28.1515;72.85;70;500;195,671371
4942;Number of wrong numbers;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;73;23.923;69.3395;66;500;194,032486
5618;Number of wrong numbers;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;75;26.423;71.136;69;500;192,608307
4710;Mantere and Koljen optmization function;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;-2689;-17538.9;-3953.84;50;500;231,980591
5466;Mantere and Koljen optmization function;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;-3746;-19040.8;-5012.15;51;500;229,362030
4921;Mantere and Koljen optmization function;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;-2526;-17921.6;-3885.9;59;500;232,056046
4942;Mantere and Koljen optmization function;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;-3682;-18655.1;-5044.41;50;500;229,364502
5618;Mantere and Koljen optmization function;Combine solved rows;Shuffle random square|row|column;500;2000;40;20;-3096;-18489.4;-4411.21;51;500;230,395111
4710;Number of wrong numbers;Combine solved rows;Shuffle random positions;500;2000;40;20;77;27.788;77;77;500;195,189621
5466;Number of wrong numbers;Combine solved rows;Shuffle random positions;500;2000;40;20;77;23.839;77;77;500;193,397903
4921;Number of wrong numbers;Combine solved rows;Shuffle random positions;500;2000;40;20;77;28.0135;77;77;500;207,792709
4942;Number of wrong numbers;Combine solved rows;Shuffle random positions;500;2000;40;20;75;24.199;75;75;500;217,156174
5618;Number of wrong numbers;Combine solved rows;Shuffle random positions;500;2000;40;20;76;26.2825;76;76;500;211,614578
4710;Mantere and Koljen optmization function;Combine solved rows;Shuffle random positions;500;2000;40;20;-3030;-17653.9;-3030;57;500;251,886749
5466;Mantere and Koljen optmization function;Combine solved rows;Shuffle random positions;500;2000;40;20;-3604;-19044.9;-3604;46;500;255,092361
4921;Mantere and Koljen optmization function;Combine solved rows;Shuffle random positions;500;2000;40;20;-2790;-18165;-2790;67;500;253,696823
4942;Mantere and Koljen optmization function;Combine solved rows;Shuffle random positions;500;2000;40;20;-3643;-18537.3;-3643;53;500;257,032196
5618;Mantere and Koljen optmization function;Combine solved rows;Shuffle random positions;500;2000;40;20;-3408;-18429.7;-3408;51;500;254,236771
4710;Number of wrong numbers;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;76;24.789;72.0885;76;500;210,183167
5466;Number of wrong numbers;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;72;24.881;68.2655;67;500;208,559708
4921;Number of wrong numbers;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;74;25.175;69.9505;74;500;209,585312
4942;Number of wrong numbers;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;75;24.344;71.0445;75;500;215,955017
5618;Number of wrong numbers;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;75;25.6095;71.2145;75;500;212,220001
4710;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;-3270;-17665.6;-4418.24;55;500;256,082428
5466;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;-4148;-20521.2;-5375.86;42;500;255,190582
4921;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;-3644;-20309.3;-4802.49;52;500;253,265991
4942;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;-3906;-20093.4;-5359.47;52;500;255,308777
5618;Mantere and Koljen optmization function;Combine solved columns;Shuffle random square|row|column;500;2000;40;20;-4347;-18068.8;-5590.63;41;500;255,450897
4710;Number of wrong numbers;Combine solved columns;Shuffle random positions;500;2000;40;20;72;24.689;72;72;500;214,471298
5466;Number of wrong numbers;Combine solved columns;Shuffle random positions;500;2000;40;20;73;24.5125;73;73;500;214,618240
4921;Number of wrong numbers;Combine solved columns;Shuffle random positions;500;2000;40;20;73;24.91;73;73;500;214,848862
4942;Number of wrong numbers;Combine solved columns;Shuffle random positions;500;2000;40;20;74;24.4955;74;74;500;215,910614
5618;Number of wrong numbers;Combine solved columns;Shuffle random positions;500;2000;40;20;77;25.447;77;77;500;213,321030
4710;Mantere and Koljen optmization function;Combine solved columns;Shuffle random positions;500;2000;40;20;-3924;-17706.9;-3924;52;500;255,116638
