Instance;Fitness Method;Crossover Method;Mutation Method;Max Generations;Population Size; Mutation Frequency;Preserved Population Percentage;Fittest individual fitness;First Generation Average Fitness;Last Generation Average Fitness;Fittest Individual Amount of Right Numbers;Generations passed;Elapsed Time(s)
4710;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;73;33.883;67.184;73;1000;344,168762
5466;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;74;32.49;66.191;74;1000;343,929047
4921;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;75;35.181;68.2;68;1000;345,031860
4942;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;73;32.276;66.427;66;1000;344,472778
5618;Number of wrong numbers;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;75;34.446;68.211;72;1000;344,308350
4710;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;-1923;-16068;-3900.4;70;1000;404,730377
5466;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;-3498;-17332.8;-5276.91;51;1000;403,908905
4921;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;-2769;-16289.9;-4791.87;52;1000;404,265533
4942;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;-3227;-16866.9;-5094.2;49;1000;404,191101
5618;Mantere and Koljen optmization function;Combine solved squares;Shuffle random square|row|column;1000;1000;60;20;-2384;-17422.2;-4421.52;66;1000;400,534882
4710;Number of wrong numbers;Combine solved squares;Shuffle random positions;1000;1000;60;20;79;34.278;79;79;1000;336,574463
5466;Number of wrong numbers;Combine solved squares;Shuffle random positions;1000;1000;60;20;77;32.695;77;77;1000;335,697998
4921;Number of wrong numbers;Combine solved squares;Shuffle random positions;1000;1000;60;20;75;35.132;75;75;1000;336,051880
4942;Number of wrong numbers;Combine solved squares;Shuffle random positions;1000;1000;60;20;79;32.428;79;79;1000;334,669342
5618;Number of wrong numbers;Combine solved squares;Shuffle random positions;1000;1000;60;20;77;34.556;77;77;1000;335,709015
4710;Mantere and Koljen optmization function;Combine solved squares;Shuffle random positions;1000;1000;60;20;-2276;-16142.1;-2276;57;1000;399,745697
5466;Mantere and Koljen optmization function;Combine solved squares;Shuffle random positions;1000;1000;60;20;-1876;-17346.3;-1876;66;1000;400,649048
